%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697325692587874,0,-0.75,-1.19,0.23
1629697325725446263,0,-1.21,-0.74,-0.05
1629697325765651745,0,-0.51,-1.26,-0.51
1629697325796818155,0,0.17,-1.63,-0.95
1629697325831057067,0,0.26,-1.68,-0.88
1629697325863550715,0,0.22,-1.4,-0.61
1629697325898726064,0,0.09,-1.2,-0.4
1629697325930590184,0,0.06,-1.26,-0.17
1629697325961332782,0,0.12,-1.42,0.02
1629697325994274283,0,0.1,-1.52,0.26
1629697326028867143,0,0.06,-1.47,0.65
1629697326060634614,0,0.07,-1.26,1.18
1629697326092167693,0,0.16,-1.12,1.61
1629697326131200822,0,-0.53,-0.54,1.14
1629697326157561380,0,-0.58,-0.25,0.97
1629697326192890172,0,-0.63,-0.47,0.7
1629697326226342765,0,-0.9,-0.36,0.47
1629697326457106017,0,-0.82,-0.05,0.2
1629697326457204332,0,-0.57,-0.17,-0.26
1629697326457244039,0,-0.1,-0.51,-0.84
1629697326457288544,0,0.21,-0.84,-1.21
1629697326457337462,0,0.46,-0.94,-1.49
1629697326457360044,0,0.63,-0.96,-1.38
1629697326458979772,0,0.52,-0.89,-0.93
1629697326486445869,0,0.29,-0.81,-0.61
1629697326519910456,0,0.2,-0.82,-0.33
1629697326553697474,0,0.05,-0.84,0.14
1629697326585825982,0,-0.04,-0.88,0.61
1629697326622105581,0,0.0,-0.88,1.06
1629697326650881385,0,0.31,-0.93,1.43
1629697326683102888,0,-0.01,-1.13,1.67
1629697326722273786,0,-0.72,-0.75,0.54
1629697326751155273,0,-0.18,-1.69,0.37
1629697326784722964,0,-0.17,-1.53,0.41
1629697326818827538,0,-0.92,-0.84,0.44
1629697326850950824,0,-1.05,-0.97,0.27
1629697326883494893,0,-1.29,-1.05,-0.42
1629697326914993092,0,-1.14,-1.11,-1.07
1629697326947765402,0,-0.29,-1.22,-1.4
1629697326982765084,0,0.06,-1.26,-1.53
1629697327013481192,0,0.13,-1.1,-1.26
1629697327052270928,0,-0.01,-0.96,-0.83
1629697327083523319,0,-0.28,-0.98,-0.63
1629697327109486258,0,-0.52,-1.09,-0.14
1629697327145201611,0,-0.72,-1.13,0.46
1629697327178273763,0,-0.33,-1.03,0.82
1629697327208630544,0,0.22,-1.11,1.49
1629697327243717362,0,-0.62,-0.7,1.68
1629697327275379836,0,-1.44,-0.1,1.58
1629697327306574780,0,-1.39,0.07,1.17
1629697327341248526,0,-0.82,-0.18,0.48
1629697327372811355,0,-0.69,-0.47,0.05
1629697327409061090,0,-0.55,-0.72,-0.68
1629697327441198764,0,-0.19,-1.1,-1.21
1629697327474120151,0,-0.12,-1.28,-1.5
1629697327507285661,0,-0.04,-1.33,-1.25
1629697327542180085,0,-0.01,-1.39,-0.83
1629697327574273954,0,-0.29,-1.03,-0.58
1629697327608953687,0,-0.29,-1.04,-0.2
1629697327643279958,0,-0.03,-1.14,0.03
1629697327674442527,0,0.0,-1.17,0.22
1629697327707711962,0,0.05,-1.2,0.56
1629697327745739855,0,0.02,-1.17,1.0
1629697327775929869,0,-0.07,-1.26,1.14
1629697327808821642,0,-0.1,-1.61,1.29
1629697327843825272,0,-0.35,-1.85,1.7
1629697327875167323,0,-1.37,-0.82,1.07
1629697327909913275,0,-0.7,-0.87,-0.56
